Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
NGA,2016-05-01,2016-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2016,2016,,113.617138,A,base year is 2015
NGA,2017-05-01,2017-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2017,2017,,135.369500,A,base year is 2015
NGA,2018-05-01,2018-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2018,2018,,153.560770,A,base year is 2015
NGA,2019-05-01,2019-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2019,2019,,174.652304,A,base year is 2015
NGA,2020-05-01,2020-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2020,2020,,200.773991,A,base year is 2015
NGA,2021-05-01,2021-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2021,2021,,245.250519,A,base year is 2015
NGA,2022-05-01,2022-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2022,2022,,292.921707,A,base year is 2015
NGA,2023-05-01,2023-05-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2023,2023,,365.208124,A,base year is 2015
NGA,2000-06-01,2000-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2000,2000,,17.541250,A,base year is 2015
NGA,2001-06-01,2001-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2001,2001,,23.041575,A,base year is 2015
NGA,2002-06-01,2002-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2002,2002,,25.596266,A,base year is 2015
NGA,2003-06-01,2003-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2003,2003,,27.225861,A,base year is 2015
NGA,2004-06-01,2004-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2004,2004,,31.178044,A,base year is 2015
NGA,2005-06-01,2005-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2005,2005,,36.793754,A,base year is 2015
NGA,2006-06-01,2006-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2006,2006,,39.066717,A,base year is 2015
NGA,2007-06-01,2007-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2007,2007,,40.418986,A,base year is 2015
NGA,2008-06-01,2008-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2008,2008,,47.658988,A,base year is 2015
NGA,2009-06-01,2009-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2009,2009,,53.842285,A,base year is 2015
NGA,2010-06-01,2010-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2010,2010,,62.041433,A,base year is 2015
NGA,2011-06-01,2011-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2011,2011,,67.331546,A,base year is 2015
NGA,2012-06-01,2012-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2012,2012,,75.651693,A,base year is 2015
NGA,2013-06-01,2013-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2013,2013,,82.876089,A,base year is 2015
NGA,2014-06-01,2014-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2014,2014,,90.950150,A,base year is 2015
NGA,2015-06-01,2015-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2015,2015,,100.047500,A,base year is 2015
NGA,2016-06-01,2016-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2016,2016,,115.242344,A,base year is 2015
NGA,2017-06-01,2017-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2017,2017,,138.071055,A,base year is 2015
NGA,2018-06-01,2018-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2018,2018,,155.958141,A,base year is 2015
NGA,2019-06-01,2019-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2019,2019,,177.012440,A,base year is 2015
NGA,2020-06-01,2020-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2020,2020,,203.737183,A,base year is 2015
NGA,2021-06-01,2021-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2021,2021,,247.972218,A,base year is 2015
NGA,2022-06-01,2022-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2022,2022,,298.901825,A,base year is 2015
NGA,2023-06-01,2023-06-30,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7006,June,2023,2023,,373.898578,A,base year is 2015
NGA,2000-07-01,2000-07-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2000,2000,,17.529962,A,base year is 2015
NGA,2001-07-01,2001-07-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2001,2001,,23.456490,A,base year is 2015
NGA,2002-07-01,2002-07-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2002,2002,,27.086180,A,base year is 2015
NGA,2003-07-01,2003-07-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2003,2003,,27.288635,A,base year is 2015
NGA,2004-07-01,2004-07-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2004,2004,,30.641844,A,base year is 2015
NGA,2005-07-01,2005-07-31,159,'566,Nigeria,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7007,July,2005,2005,,41.431226,A,base year is 2015
