"Rate Date","Rate Type","Range","Weighted Average"
"7/12/2023","OBB Rate","1.00 - 5.00","1.79",
"7/11/2023","OBB Rate","0.50 - 3.50","1.38",
"7/10/2023","OBB Rate","1.00 - 3.00","1.36",
"7/7/2023","Call Rate","1.25 - 1.25","1.25",
"7/7/2023","OBB Rate","1.00 - 3.00","1.34",
"7/6/2023","OBB Rate","1.00 - 1.50","1.08",
"7/5/2023","4-7 Days","1.25 - 1.25","1.25",
"7/5/2023","OBB Rate","0.25 - 2.50","1.19",
"7/4/2023","Call Rate","1.00 - 2.50","1.33",
"7/4/2023","OBB Rate","0.25 - 2.00","1.12",
"7/3/2023","OBB Rate","0.50 - 3.00","1.38",
"7/3/2023","OBB Rate","0.50 - 4.00","1.42",
"6/27/2023","OBB Rate","1.00 - 6.00","2.30",
"6/26/2023","OBB Rate","0.50 - 3.00","1.49",
"6/23/2023","OBB Rate","1.00 - 5.00","2.17",
"6/22/2023","OBB Rate","0.20 - 5.00","2.90",
"6/21/2023","Call Rate","11.50 - 11.50","11.50",
"6/21/2023","OBB Rate","11.50 - 12.00","11.51",
"6/20/2023","Call Rate","11.50 - 11.50","11.50",
"6/20/2023","OBB Rate","11.50 - 12.00","11.52",
"6/19/2023","OBB Rate","11.50 - 12.50","11.60",
"6/16/2023","4-7 Days","11.50 - 12.00","11.83",
"6/16/2023","OBB Rate","11.50 - 12.00","11.53",
"6/15/2023","Call Rate","11.50 - 12.50","11.86",
"6/15/2023","7-Day","12.00 -12.00","12.00",
"6/15/2023","30-Day","11.00 - 11.50","11.08",
"6/14/2023","Call Rate","11.50 - 12.50","11.86",
"6/14/2023","OBB Rate","11.50 - 12.50","11.52",
"6/13/2023","Call Rate","11.50 - 12.00","11.93",
"6/13/2023","OBB Rate","11.50 - 14.00","11.66",
"6/9/2023","Call Rate","11.50 - 11.50","11.50",
"6/9/2023","OBB Rate","11.50 - 14.50","12.76",
"6/8/2023","Call Rate","11.50 - 11.50","11.50",
"6/8/2023","OBB Rate","11.50 - 12.00","11.52",
"6/7/2023","OBB Rate","11.50 - 12.50","11.54",
"6/6/2023","Call Rate","12.00 - 12.00","12.00",
"6/6/2023","OBB Rate","11.50 - 12.00","11.57",
"6/5/2023","Call Rate","11.50 - 11.50","11.50",
"6/5/2023","OBB Rate","11.50 - 13.50","11.60",
"6/2/2023","OBB Rate","11.50 - 12.50","11.58",
"6/1/2023","OBB Rate","11.50 - 12.50","11.60",
"5/31/2023","OBB Rate","11.50 - 13.50","12.19",
"5/30/2023","OBB Rate","11.50 - 14.00","11.73",
"5/26/2023","Call Rate","16.00 - 16.00","16.00",
"5/26/2023","OBB Rate","11.50 - 18.00","13.02",
"5/25/2023","Call Rate","11.50 - 11.50","11.50",
"5/25/2023","OBB Rate","11.00 -18.00","11.55",
"5/24/2023","OBB Rate","11.00 - 18.00","11.37",
"5/23/2023","Call Rate","11.00 - 11.00","11.00",
"5/23/2023","OBB Rate","11.00 - 18.00","11.23",
"5/22/2023","OBB Rate","11.00 - 18.00","12.64",
"5/19/2023","OBB Rate","11.00 - 18.00","15.16",
"5/18/2023","Call Rate","11.00 - 11.00","11.00",
"5/18/2023","OBB Rate","11.00 - 19.00","17.05",
"5/17/2023","Call Rate","19.00 - 19.00","19.00",
"5/17/2023","OBB Rate","11.00 - 19.00","17.61",
"5/16/2023","OBB Rate","11.00-18.00","15.53",
"5/15/2023","Call Rate","11.00 - 14.00","13.01",
"5/12/2023","OBB Rate","11.00 - 15.00","12.54",
"5/11/2023","OBB Rate","11.00 - 11.00","11.00",
"5/10/2023","Call Rate","11.00 - 11.00","11.00",
"5/10/2023","OBB Rate","11.00 - 14.00","11.15",
"5/9/2023","Call Rate","11.00 - 11.50","11.19",
"5/9/2023","OBB Rate","11.00 - 11.00","11.00",
"5/8/2023","Call Rate","11.00 - 11.00","11.00",
"5/8/2023","OBB Rate","11.00 - 12.75","11.22",
"5/5/2023","OBB Rate","11.00 -11.50","11.02",
"5/5/2023","Call Rate","11.00 - 11.00","11.00",
